ANT1	13.84	86.85	0.00	2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	3.44	81.79	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	-24.74	96.36	90.00	10uF	NORDIC_NRF_3_RESC0402_L
C10	-2.71	82.67	90.00	N.C	NORDIC_NRF_3_RESC0201_L
C11	3.25	80.54	0.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	0.60	82.76	90.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	-0.31	83.39	90.00	N.C	NORDIC_NRF_3_RESC0201_L
C14	-6.48	81.74	180.00	4.7uF	NORDIC_NRF_3_RESC0402_L
C15	-2.66	84.83	90.00	1.0uF	NORDIC_NRF_3_RESC0402_L
C16	-1.11	85.05	90.00	47Nf	NORDIC_NRF_3_RESC0201_L
C17	-11.34	81.51	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	-11.39	77.71	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	-13.64	73.35	270.00	100nF	NORDIC_NRF_3_RESC0201_L
C2	1.41	85.09	90.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	-20.03	94.66	180.00	4.7uF/25V	NORDIC_NRF_3_RESC0402_L
C20	-6.78	74.24	180.00	4.7uF	NORDIC_NRF_3_RESC0402_L
C21	-4.44	73.77	270.00	4.7uF	NORDIC_NRF_3_RESC0402_L
C22	10.91	86.69	270.00	N.C	NORDIC_NRF_3_RESC0201_L
C23	-21.26	68.78	90.00	0.1uF	NORDIC_NRF_3_RESC0402_L
C24	-24.91	72.96	90.00	10uF	NORDIC_NRF_3_RESC0201_L
C25	-23.39	67.61	0.00	22uF	NORDIC_NRF_3_RESC0402_L
C27	-13.64	69.29	180.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C29	-15.21	69.82	90.00	1uF	NORDIC_NRF_3_RESC0402_L
C3	9.09	86.31	90.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	3.59	70.18	90.00	1uF	NORDIC_NRF_3_RESC0402_L
C31	-5.51	69.90	90.00	1uF	NORDIC_NRF_3_RESC0402_L
C32	3.04	91.79	180.00	1uF	NORDIC_NRF_3_RESC0402_L
C33	-23.14	69.01	0.00	22uF	NORDIC_NRF_3_RESC0402_L
C34	8.19	93.39	90.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C37	-25.30	67.46	270.00	1uF	PERFECT_0402_0402
C38	-24.86	69.75	270.00	1uF	PERFECT_0402_0402
C39	-26.46	69.73	270.00	10uF	PERFECT_0402_0402
C4	10.01	86.97	270.00	1pF	NORDIC_NRF_3_RESC0201_L
C42	-6.84	89.65	270.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C43	-0.68	92.50	270.00	4.7uF	NORDIC_NRF_3_RESC0402_L
C5	-6.55	83.24	180.00	100nF	NORDIC_NRF_3_RESC0201_L
C6	-6.33	75.84	180.00	4.7uF	NORDIC_NRF_3_RESC0402_L
C7	-0.94	71.70	270.00	100nF	NORDIC_NRF_3_RESC0201_L
